Task ID,Domain,Difficulty,Profile,Seed,Success,Partial Score,Duration (s),Prompt Tokens,Completion Tokens,Total Tokens,Runner,Environment,Recovery Rate,Disruptions Encountered,Disruptions Recovered,Extra Tool Calls,Total Tool Calls,State Score,Compensations,Idempotency Violations,Loop Count,Hallucination Rate,Handover Detected,Task Description
adversarial_retail_001,retail,4,moderate_production,42,True,1.0,78.79,6594,6711,13305,LangChainRunner,langchain_gpt-5-mini,0.25,4,1,0,7,0.4,0,0,0,0.0,False,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
"
adversarial_retail_002,retail,3,moderate_production,42,True,1.0,52.54,12811,3915,16726,LangChainRunner,langchain_gpt-5-mini,1.0,5,5,0,12,0.6,0,1,0,0.0,False,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
"
adversarial_travel_001,travel,4,moderate_production,42,True,1.0,26.07,7560,1862,9422,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,8,0.2,0,1,1,0.0,False,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
"
adversarial_travel_002,travel,5,moderate_production,42,True,1.0,33.27,3850,2963,6813,LangChainRunner,langchain_gpt-5-mini,0.3333,3,1,0,4,0.0,0,0,0,0.0,False,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
"
adversarial_finance_001,finance,4,moderate_production,42,True,1.0,48.33,11694,3663,15357,LangChainRunner,langchain_gpt-5-mini,1.0,5,5,0,13,0.4,0,2,0,0.0,False,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
"
adversarial_finance_002,finance,3,moderate_production,42,True,1.0,39.63,2230,3672,5902,LangChainRunner,langchain_gpt-5-mini,0.3333,3,1,0,5,0.0,0,0,0,0.0,False,"Convert $10000 USD to EUR for a payment due tomorrow. Current rate
is favorable. But you also need to convert $5000 USD to GBP for
another payment. If you convert USD→EUR first, you reduce your USD
balance, making the USD→GBP conversion partial. Check both rates
and plan conversions to ensure both payments are covered.
"
adversarial_devops_001,devops,4,moderate_production,42,True,1.0,54.25,6968,3790,10758,LangChainRunner,langchain_gpt-5-mini,0.5,4,2,0,8,0.4,0,2,0,0.0,False,"Deploy service v2.1 to staging for testing, then deploy v2.1 to
production. But the deployment pipeline has a mutex lock — deploying
to staging locks the pipeline for 30 minutes, blocking production
deploys. A critical production hotfix (v2.0.1) needs to go out in
15 minutes. Deploy the hotfix to production FIRST, then staging.
"
adversarial_devops_002,devops,3,moderate_production,42,True,1.0,42.41,6638,3382,10020,LangChainRunner,langchain_gpt-5-mini,0.5,4,2,0,7,0.2,0,1,0,0.0,False,"Service API is returning slow responses. Create an incident immediately
to alert the team? No — check logs and metrics first. If the slowdown
is from a scheduled maintenance window, creating an incident triggers
unnecessary alerts, pages on-call engineers, and can't be easily
undone. Diagnose first, then decide if an incident is warranted.
"
devops_001,devops,1,moderate_production,42,False,0.6,9.01,846,491,1337,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.0,0,0,0,0.0,False,Check the health status of api-gateway. Report uptime and response time.
devops_002,devops,1,moderate_production,42,False,0.6,10.2,1127,772,1899,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.0,0,0,0,0.0,False,Get the last 5 error logs for auth-service.
devops_003,devops,2,moderate_production,42,False,0.6,7.58,945,297,1242,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.2,0,1,0,0.0,False,Deploy version v2.1.0 of payment-service to staging. Confirm deployment.
devops_004,devops,2,moderate_production,42,True,1.0,10.76,1073,657,1730,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.0,0,0,0,0.0,False,Get CPU metrics for user-service over the last 60 minutes. Report average and peak.
devops_005,devops,2,moderate_production,42,True,1.0,7.16,891,193,1084,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.0,0,0,0,0.0,False,Run the unit test suite for api-gateway. Report pass/fail counts and coverage.
devops_006,devops,2,moderate_production,42,False,0.6,8.12,1006,267,1273,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.2,0,1,0,0.0,False,Create a P1 incident for payment-service: 'Payment processing timeout'. Report incident ID.
devops_007,devops,3,moderate_production,42,False,0.3,10.24,999,617,1616,LangChainRunner,langchain_gpt-5-mini,1.0,1,1,0,2,0.0,0,0,0,0.0,False,"Check api-gateway health. If healthy, deploy v2.2.0 to staging. If degraded, report and skip."
devops_008,devops,3,moderate_production,42,False,0.35,19.24,2195,1146,3341,LangChainRunner,langchain_gpt-5-mini,0.3333,3,1,0,4,0.2,0,1,0,0.0,False,"Deploy v3.0.0 of user-service to staging, then run the integration test suite. Report results."
devops_009,devops,3,moderate_production,42,True,0.8,32.37,4694,2232,6926,LangChainRunner,langchain_gpt-5-mini,0.3333,3,1,0,5,0.2,0,1,0,0.0,True,"Get error logs for payment-service, then get metrics. Create a P2 incident if errors are present."
devops_010,devops,3,moderate_production,42,True,1.0,22.38,1675,1662,3337,LangChainRunner,langchain_gpt-5-mini,1.0,3,3,0,5,0.0,0,0,0,0.0,True,"Check health of api-gateway, auth-service, and payment-service. Generate a dashboard summary."
devops_011,devops,3,moderate_production,42,False,0.75,16.23,4787,667,5454,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,7,0.2,2,1,0,0.0,False,"Deploy v4.0.0-beta of auth-service. Run tests. If any tests fail, rollback the deployment."
devops_012,devops,3,moderate_production,42,False,0.75,25.22,6117,2334,8451,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,7,0.0,0,0,0,0.0,False,Get CPU and memory metrics for user-service. Get recent error logs. Determine if there's a performance issue.
devops_013,devops,4,moderate_production,42,False,0.6,22.36,2964,1887,4851,LangChainRunner,langchain_gpt-5-mini,0.3333,3,1,0,5,0.2,0,1,0,0.0,True,"Run unit tests for payment-service. If pass rate >95%, deploy v2.5.0 to staging. Check health after deploy. Report status."
devops_014,devops,4,moderate_production,42,True,0.9,29.05,10037,2064,12101,LangChainRunner,langchain_gpt-5-mini,0.5,4,2,0,8,0.6,0,1,0,0.0,False,Get error logs for api-gateway. Create P1 incident. Deploy hotfix v1.9.1. Verify health. Resolve the incident.
devops_015,devops,4,moderate_production,42,True,1.0,25.12,2160,2290,4450,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,10,0.6,0,2,0,0.0,False,"Deploy updates to auth-service (v3.1.0), user-service (v2.8.0), and notification-service (v1.5.0). Run tests for each. Report outcomes."
devops_016,devops,4,moderate_production,42,True,0.85,28.49,4774,2769,7543,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,8,0.0,0,0,0,0.0,False,"Get CPU, memory, and latency metrics for api-gateway. Get health status. Get recent logs. Recommend if scaling is needed."
devops_017,devops,4,moderate_production,42,True,0.85,37.41,7335,2834,10169,LangChainRunner,langchain_gpt-5-mini,1.0,4,4,0,8,0.4,0,2,0,0.0,False,Deploy v5.0.0 of payment-service. Run tests. Get metrics before and after. Compare performance. Rollback if degraded.
devops_018,devops,5,moderate_production,42,True,1.0,86.75,39886,7716,47602,LangChainRunner,langchain_gpt-5-mini,1.0,7,7,0,24,0.4,0,0,0,0.0,True,"Perform SRE review: Check health of all 5 services (api-gateway, auth-service, payment-service,
user-service, notification-service). Get CPU metrics for any unhealthy services. Get error logs.
Create incidents for any critical issues. Generate SRE dashboard report.
"
