Run_ID,Model,Runner,Profile,Task_ID,Difficulty,Description,Success,Partial_Score,Recovery_Rate,Total_Tool_Calls,Disruptions_Encountered,Duration_Seconds
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_retail_001,4,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
",1,0.9,1.0,0,0,14.15
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_retail_002,3,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
",0,0.5,1.0,3,0,9.25
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_travel_001,4,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
",1,0.85,1.0,3,0,7.91
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_travel_002,5,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
",1,0.8,1.0,1,0,14.66
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_finance_001,4,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
",0,0.6,1.0,2,0,4.59
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_finance_002,3,"Convert $10000 USD to EUR for a payment due tomorrow. Current rate
is favorable. But you also need to convert $5000 USD to GBP for
another payment. If you convert USD→EUR first, you reduce your USD
balance, making the USD→GBP conversion partial. Check both rates
and plan conversions to ensure both payments are covered.
",1,1.0,1.0,3,0,4.78
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_devops_001,4,"Deploy service v2.1 to staging for testing, then deploy v2.1 to
production. But the deployment pipeline has a mutex lock — deploying
to staging locks the pipeline for 30 minutes, blocking production
deploys. A critical production hotfix (v2.0.1) needs to go out in
15 minutes. Deploy the hotfix to production FIRST, then staging.
",1,0.85,1.0,2,0,4.38
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,adversarial_devops_002,3,"Service API is returning slow responses. Create an incident immediately
to alert the team? No — check logs and metrics first. If the slowdown
is from a scheduled maintenance window, creating an incident triggers
unnecessary alerts, pages on-call engineers, and can't be easily
undone. Diagnose first, then decide if an incident is warranted.
",1,1.0,1.0,4,0,11.26
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,devops_001,1,Check the health status of api-gateway. Report uptime and response time.,0,0.0,1.0,1,0,3.52
20260403_060839_langchain_gemini25flash_all,gemini-2.5-flash,langchain,clean,devops_002,1,Get the last 5 error logs for auth-service.,0,0.6,1.0,1,0,3.17
