Task ID,Domain,Difficulty,Profile,Seed,Success,Partial Score,Duration (s),Prompt Tokens,Completion Tokens,Total Tokens,Runner,Environment,Recovery Rate,Disruptions Encountered,Disruptions Recovered,Extra Tool Calls,Total Tool Calls,State Score,Compensations,Idempotency Violations,Loop Count,Hallucination Rate,Handover Detected,Task Description
adversarial_retail_001,retail,4,clean,42,True,0.9,18.74,1086,3697,4783,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.4,0,0,0,0.0,False,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
"
adversarial_retail_002,retail,3,clean,42,False,0.5,8.7,2112,1041,3153,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.4,0,0,0,0.0,False,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
"
adversarial_travel_001,travel,4,clean,42,True,0.85,9.84,2665,1115,3780,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.2,0,0,0,0.0,False,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
"
adversarial_travel_002,travel,5,clean,42,False,0.4,11.39,2500,1926,4426,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.0,0,0,0,0.0,False,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
"
adversarial_finance_001,finance,4,clean,42,False,0.6,5.38,1428,520,1948,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.4,0,0,0,0.0,False,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
"
adversarial_finance_002,finance,3,clean,42,True,1.0,7.25,822,1057,1879,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.0,0,0,0,0.0,False,"Convert $10000 USD to EUR for a payment due tomorrow. Current rate
is favorable. But you also need to convert $5000 USD to GBP for
another payment. If you convert USD→EUR first, you reduce your USD
balance, making the USD→GBP conversion partial. Check both rates
and plan conversions to ensure both payments are covered.
"
adversarial_devops_001,devops,4,clean,42,True,0.85,3.86,1500,253,1753,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.4,0,0,0,0.0,False,"Deploy service v2.1 to staging for testing, then deploy v2.1 to
production. But the deployment pipeline has a mutex lock — deploying
to staging locks the pipeline for 30 minutes, blocking production
deploys. A critical production hotfix (v2.0.1) needs to go out in
15 minutes. Deploy the hotfix to production FIRST, then staging.
"
adversarial_devops_002,devops,3,clean,42,True,0.85,11.78,4285,1101,5386,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,5,0.2,0,0,0,0.0,False,"Service API is returning slow responses. Create an incident immediately
to alert the team? No — check logs and metrics first. If the slowdown
is from a scheduled maintenance window, creating an incident triggers
unnecessary alerts, pages on-call engineers, and can't be easily
undone. Diagnose first, then decide if an incident is warranted.
"
devops_001,devops,1,clean,42,False,0.0,3.67,274,339,613,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Check the health status of api-gateway. Report uptime and response time.
devops_002,devops,1,clean,42,False,0.6,2.94,283,163,446,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.0,0,0,0,0.0,False,Get the last 5 error logs for auth-service.
devops_003,devops,2,clean,42,False,0.0,2.47,350,115,465,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.2,0,0,0,0.0,False,Deploy version v2.1.0 of payment-service to staging. Confirm deployment.
devops_004,devops,2,clean,42,False,0.6,3.48,534,353,887,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Get CPU metrics for user-service over the last 60 minutes. Report average and peak.
devops_005,devops,2,clean,42,True,1.0,4.31,537,379,916,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Run the unit test suite for api-gateway. Report pass/fail counts and coverage.
devops_006,devops,2,clean,42,False,0.6,3.27,372,239,611,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.2,0,0,0,0.0,False,Create a P1 incident for payment-service: 'Payment processing timeout'. Report incident ID.
devops_007,devops,3,clean,42,False,0.0,3.42,442,243,685,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,"Check api-gateway health. If healthy, deploy v2.2.0 to staging. If degraded, report and skip."
devops_008,devops,3,clean,42,False,0.0,12.17,3412,1733,5145,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,4,0.2,0,1,0,0.0,False,"Deploy v3.0.0 of user-service to staging, then run the integration test suite. Report results."
devops_009,devops,3,clean,42,True,0.8,9.33,4228,1061,5289,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.2,0,0,0,0.0,False,"Get error logs for payment-service, then get metrics. Create a P2 incident if errors are present."
devops_010,devops,3,clean,42,True,0.8,4.09,493,470,963,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.0,0,0,0,0.0,False,"Check health of api-gateway, auth-service, and payment-service. Generate a dashboard summary."
devops_011,devops,3,clean,42,False,0.5,7.97,1403,931,2334,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.2,0,0,0,0.0,False,"Deploy v4.0.0-beta of auth-service. Run tests. If any tests fail, rollback the deployment."
devops_012,devops,3,clean,42,False,0.75,13.85,3711,2519,6230,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,5,0.0,0,0,0,0.0,False,Get CPU and memory metrics for user-service. Get recent error logs. Determine if there's a performance issue.
devops_013,devops,4,clean,42,True,1.0,9.4,2341,1300,3641,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.2,0,0,0,0.0,False,"Run unit tests for payment-service. If pass rate >95%, deploy v2.5.0 to staging. Check health after deploy. Report status."
devops_014,devops,4,clean,42,True,0.9,12.58,8179,1292,9471,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,5,0.4,1,0,0,0.0,False,Get error logs for api-gateway. Create P1 incident. Deploy hotfix v1.9.1. Verify health. Resolve the incident.
devops_015,devops,4,clean,42,False,0.75,10.46,1980,2179,4159,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,6,0.6,0,0,0,0.0,False,"Deploy updates to auth-service (v3.1.0), user-service (v2.8.0), and notification-service (v1.5.0). Run tests for each. Report outcomes."
devops_016,devops,4,clean,42,True,0.85,17.81,20041,2590,22631,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,19,0.0,0,0,0,0.0,False,"Get CPU, memory, and latency metrics for api-gateway. Get health status. Get recent logs. Recommend if scaling is needed."
devops_017,devops,4,clean,42,False,0.5,11.42,2896,1495,4391,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,3,0.2,0,0,0,0.0,False,Deploy v5.0.0 of payment-service. Run tests. Get metrics before and after. Compare performance. Rollback if degraded.
devops_018,devops,5,clean,42,True,1.0,31.14,89545,4216,93761,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,48,0.6,0,0,0,0.0,False,"Perform SRE review: Check health of all 5 services (api-gateway, auth-service, payment-service,
user-service, notification-service). Get CPU metrics for any unhealthy services. Get error logs.
Create incidents for any critical issues. Generate SRE dashboard report.
"
devops_019,devops,5,clean,42,False,0.7,14.82,4821,2191,7012,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,4,0.4,0,0,0,0.0,False,"Blue-green deploy for payment-service: Get current health. Deploy v6.0.0 to staging. Run full test
suite. Get metrics. If tests pass and metrics OK, report success. If not, rollback. Create incident
if rollback needed. Generate deployment report.
"
devops_020,devops,5,clean,42,True,1.0,38.94,98356,4483,102839,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,35,0.8,1,3,0,0.0,False,"Simulate a disaster recovery drill: Check all service health. Get logs for all services. Create a
DR incident. Rollback payment-service to last known good. Deploy emergency versions of auth-service
and user-service. Run smoke tests. Verify health post-recovery. Resolve the incident. Generate DR report.
"
finance_001,finance,1,clean,42,False,0.6,2.09,296,163,459,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Check balance for ACC-001122. Report available balance and pending transactions.
finance_002,finance,1,clean,42,True,1.0,3.41,305,400,705,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Get the current USD to EUR exchange rate. Report rate and inverse.
finance_003,finance,2,clean,42,False,0.0,5.85,963,589,1552,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,2,0.2,0,0,0,0.0,False,"Transfer 500 USD from ACC-001122 to ACC-003344. Check balance first, confirm fees."
finance_004,finance,2,clean,42,False,0.0,6.69,1002,1090,2092,RACRunner,rac_gemini-2.5-flash,1.0,0,0,0,1,0.0,0,0,0,0.0,False,Show last 10 transactions for ACC-001122. Summarize types and amounts.
