Task ID,Domain,Difficulty,Profile,Seed,Success,Partial Score,Duration (s),Prompt Tokens,Completion Tokens,Total Tokens,Runner,Environment,Recovery Rate,Disruptions Encountered,Disruptions Recovered,Extra Tool Calls,Total Tool Calls,State Score,Compensations,Idempotency Violations,Loop Count,Hallucination Rate,Handover Detected,Task Description
adversarial_retail_001,retail,4,clean,42,True,0.9,17.06,437,2937,3374,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
"
adversarial_retail_001,retail,4,hostile_environment,42,False,0.0,8.87,437,1621,2058,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,0,0.0,0,0,0,0.0,False,"A customer wants to buy product PRD-laptop ($1200) with two coupons.
Coupon SAVE10 gives 10% off. Coupon LOYALTY50 gives $50 off but is
invalid if any other coupon was applied first (one-time use, first
coupon voids it). Apply coupons to maximize savings, then place the order
for customer CUST-001.
"
adversarial_retail_002,retail,3,clean,42,False,0.5,8.56,2292,928,3220,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,3,0.4,0,0,0,0.0,False,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
"
adversarial_retail_002,retail,3,hostile_environment,42,False,0.5,12.43,3768,1178,4946,LangChainRunner,langchain_gemini-2.5-flash,1.0,2,2,2,5,0.4,0,1,0,0.0,False,"Customer CUST-002 wants to buy 3 units of PRD-limited (only 2 in stock).
Also add PRD-accessory to cart. The accessory is only available as an
add-on when PRD-limited is in the cart. Check inventory first, then
place orders in the right sequence.
"
adversarial_travel_001,travel,4,clean,42,True,0.85,9.74,2845,699,3544,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,3,0.2,0,0,0,0.0,False,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
"
adversarial_travel_001,travel,4,hostile_environment,42,True,0.85,12.25,4368,916,5284,LangChainRunner,langchain_gemini-2.5-flash,1.0,2,2,2,5,0.2,0,0,0,0.0,False,"Book the cheapest flight from SFO to Denver on 2026-06-15 for
passenger ""Test Traveller"". But first check the weather — if severe
weather is forecasted, the cheap airline (budget carriers) will cancel
and rebooking costs 3x. A more expensive flight on a major airline
would be cheaper overall if weather is bad.
"
adversarial_travel_002,travel,5,clean,42,True,1.0,19.93,2635,3731,6366,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,2,0.0,0,0,0,0.0,False,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
"
adversarial_travel_002,travel,5,hostile_environment,42,True,1.0,9.8,1763,1148,2911,LangChainRunner,langchain_gemini-2.5-flash,1.0,1,1,0,2,0.0,0,0,0,0.0,False,"Plan a trip from NYC to London. Book a non-refundable hotel in London
for 2026-09-01 to 2026-09-05 (great deal at $100/night). Then search
and book a flight. Warning: flights to London on Sep 1 are sold out
on budget airlines. If you book the hotel first, you lose the money if
no flight is available. Search flights FIRST to confirm availability.
"
adversarial_finance_001,finance,4,clean,42,False,0.6,5.15,1563,349,1912,LangChainRunner,langchain_gemini-2.5-flash,1.0,0,0,0,2,0.4,0,0,0,0.0,False,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
"
adversarial_finance_001,finance,4,hostile_environment,42,False,0.6,6.75,2105,445,2550,LangChainRunner,langchain_gemini-2.5-flash,1.0,1,1,1,3,0.4,0,1,0,0.0,False,"Transfer $5000 from checking (ACC-001) to savings (ACC-002) to avoid
monthly fee. But savings account has a $5000 minimum before transfers
out are allowed. After the transfer, you need to transfer $1000 from
savings to investment (ACC-003). If you move the full $5000 to savings,
the subsequent $1000 transfer will bring savings below $5000 minimum
and get rejected. Transfer only $4000 to savings instead.
"
